source,label,frame,length
2D,19点モデル(拡張後),62,197.9373445219421
2D,19点モデル(拡張後),63,204.78548234523194
2D,19点モデル(拡張後),64,207.45372275198596
2D,19点モデル(拡張後),65,205.91818269225047
2D,19点モデル(拡張後),66,204.9866816676931
2D,19点モデル(拡張後),67,202.200441985487
2D,19点モデル(拡張後),68,196.57650922883718
2D,19点モデル(拡張後),69,191.52794014273223
2D,19点モデル(拡張後),70,188.73304171777627
2D,19点モデル(拡張後),71,189.23440608380838
2D,19点モデル(拡張後),72,190.65584981126764
2D,19点モデル(拡張後),73,187.99861557003877
2D,19点モデル(拡張後),74,185.79584618871155
2D,19点モデル(拡張後),75,179.69171922766623
2D,19点モデル(拡張後),76,182.10746968833678
2D,19点モデル(拡張後),77,182.0842779980677
2D,19点モデル(拡張後),78,181.25392620080595
2D,19点モデル(拡張後),79,181.5900899094985
2D,19点モデル(拡張後),80,176.77192239040866
2D,19点モデル(拡張後),81,173.61033389351974
2D,19点モデル(拡張後),82,174.66450223926194
2D,19点モデル(拡張後),83,178.34332690255866
2D,19点モデル(拡張後),84,179.6333710012012
2D,19点モデル(拡張後),85,178.23116643949885
2D,19点モデル(拡張後),86,177.28601290064108
2D,19点モデル(拡張後),87,174.74517391116177
2D,19点モデル(拡張後),88,175.36790440107086
2D,19点モデル(拡張後),89,173.71781370737182
2D,19点モデル(拡張後),90,173.6045012765544
2D,19点モデル(拡張後),91,175.2420826578991
2D,19点モデル(拡張後),92,175.42825114588348
2D,19点モデル(拡張後),93,175.86917764763328
2D,19点モデル(拡張後),94,175.11130285052903
2D,19点モデル(拡張後),95,174.69282574271972
2D,19点モデル(拡張後),96,175.7268593702195
2D,19点モデル(拡張後),97,176.4609591482227
2D,19点モデル(拡張後),98,176.91885583663313
2D,19点モデル(拡張後),99,176.53527912583857
2D,19点モデル(拡張後),100,175.04538297649478
2D,19点モデル(拡張後),101,176.28549604666642
2D,正解データ,1,140.8402135718298
2D,正解データ,2,140.92523239860273
2D,正解データ,3,141.01292853688852
2D,正解データ,4,141.10258657346918
2D,正解データ,5,141.19255545277645
2D,正解データ,6,141.27983878246366
2D,正解データ,7,141.36438028926668
2D,正解データ,8,141.44599449545026
2D,正解データ,9,141.52563519004468
2D,正解データ,10,141.60803375177633
2D,正解データ,11,141.69962438258577
2D,正解データ,12,141.80450464392996
2D,正解データ,13,141.9229103462621
2D,正解データ,14,142.05221498526996
2D,正解データ,15,142.19336287716533
2D,正解データ,16,142.35708221111003
2D,正解データ,17,142.56728051276832
2D,正解データ,18,142.86002059921915
2D,正解データ,19,143.2731709350728
2D,正解データ,20,143.82852382541364
2D,正解データ,21,144.52795759798744
2D,正解データ,22,145.35059623513092
2D,正解データ,23,146.25155418453218
2D,正解データ,24,147.17489151816176
2D,正解データ,25,148.06354270160588
2D,正解データ,26,148.87389157247233
2D,正解データ,27,149.58723425176572
2D,正解データ,28,150.21111873398604
2D,正解データ,29,150.76916040012952
2D,正解データ,30,151.29227258100127
2D,正解データ,31,151.81556472451592
2D,正解データ,32,152.3385240294858
2D,正解データ,33,152.8482780698273
2D,正解データ,34,153.33302115391683
2D,正解データ,35,153.7862912992249
2D,正解データ,36,154.21237124168852
2D,正解データ,37,154.62868920336157
2D,正解データ,38,155.06213786783286
2D,正解データ,39,155.54556346612412
2D,正解データ,40,156.08050805596443
2D,正解データ,41,156.6705425281692
2D,正解データ,42,157.309982135217
2D,正解データ,43,157.96345668341417
2D,正解データ,44,158.62839325666073
2D,正解データ,45,159.30403520224655
2D,正解データ,46,159.98297539381164
2D,正解データ,47,160.64753891299443
2D,正解データ,48,161.2705065146084
2D,正解データ,49,161.83445659031332
2D,正解データ,50,162.32476133782953
2D,正解データ,51,162.73668366978166
2D,正解データ,52,163.07299895094445
2D,正解データ,53,163.3362026946533
2D,正解データ,54,163.53107667126076
2D,正解データ,55,163.66540903063506
2D,正解データ,56,163.75217519181714
2D,正解データ,57,163.8096900566381
2D,正解データ,58,163.8549833785702
2D,正解データ,59,163.89805147632393
2D,正解データ,60,163.9410711128785
2D,正解データ,61,163.9796264910047
2D,正解データ,62,164.0056699357138
2D,正解データ,63,164.0137519255705
2D,正解データ,64,163.98855438145065
2D,正解データ,65,163.91661522679118
2D,正解データ,66,163.79577991357638
2D,正解データ,67,163.63014647678537
2D,正解データ,68,163.41886740455777
2D,正解データ,69,163.15913317507972
2D,正解データ,70,162.85775737552012
2D,正解データ,71,162.5242894493347
2D,正解データ,72,162.16549754034386
2D,正解データ,73,161.79112092019798
2D,正解データ,74,161.40904176701184
2D,正解データ,75,161.02603962596208
2D,正解データ,76,160.65440041907493
2D,正解データ,77,160.3023866521681
2D,正解データ,78,159.9743688572577
2D,正解データ,79,159.67642699893514
2D,正解データ,80,159.41009509319485
2D,正解データ,81,159.17552219760975
2D,正解データ,82,158.97592777824195
2D,正解データ,83,158.8096376203988
2D,正解データ,84,158.67192044976133
2D,正解データ,85,158.56222166108498
2D,正解データ,86,158.4762569267606
2D,正解データ,87,158.40773743189195
2D,正解データ,88,158.35581655946717
2D,正解データ,89,158.31709177241314
2D,正解データ,90,158.28657980858472
2D,正解データ,91,158.2664487277533
2D,正解データ,92,158.25563685698432
2D,正解データ,93,158.25148518919045
2D,正解データ,94,158.25569847607417
2D,正解データ,95,158.26724477372662
2D,正解データ,96,158.28243209318356
2D,正解データ,97,158.3032943585398
2D,正解データ,98,158.32716871318314
2D,正解データ,99,158.34980168211843
2D,正解データ,100,158.37438216902822
2D,正解データ,101,158.40019336596475
3D,17点モデル(拡張前),1,0.2943103559003054
3D,17点モデル(拡張前),2,0.2751995616422209
3D,17点モデル(拡張前),3,0.2751995616422209
3D,17点モデル(拡張前),4,0.2751995616422209
3D,17点モデル(拡張前),5,0.2951140099189961
3D,17点モデル(拡張前),6,0.2949288908651944
3D,17点モデル(拡張前),7,0.2950079502126323
3D,17点モデル(拡張前),8,0.2715831795689629
3D,17点モデル(拡張前),9,0.2762229939145577
3D,17点モデル(拡張前),10,0.28800041736118615
3D,17点モデル(拡張前),11,0.2871472919869558
3D,17点モデル(拡張前),12,0.28837067468887234
3D,17点モデル(拡張前),13,0.2897882830840553
3D,17点モデル(拡張前),14,0.2729103163525307
3D,17点モデル(拡張前),15,0.2804772162692371
3D,17点モデル(拡張前),16,0.2721782226189082
3D,17点モデル(拡張前),17,0.2804445967068894
3D,17点モデル(拡張前),18,0.27500610951757837
3D,17点モデル(拡張前),19,0.2905450961301759
3D,17点モデル(拡張前),20,0.27299603055864025
3D,17点モデル(拡張前),21,0.3046122250306744
3D,17点モデル(拡張前),22,0.2822401170815572
3D,17点モデル(拡張前),23,0.29497318147306495
3D,17点モデル(拡張前),24,0.2942713548444782
3D,17点モデル(拡張前),25,0.2891666882693625
3D,17点モデル(拡張前),26,0.3145163209945603
3D,17点モデル(拡張前),27,0.29075312129458747
3D,17点モデル(拡張前),28,0.27061934504154317
3D,17点モデル(拡張前),29,0.28549351110141297
3D,17点モデル(拡張前),30,0.2889723983530157
3D,17点モデル(拡張前),31,0.28350042381394325
3D,17点モデル(拡張前),32,0.2826972882992661
3D,17点モデル(拡張前),33,0.27857059202506873
3D,17点モデル(拡張前),34,0.3083353736506546
3D,17点モデル(拡張前),35,0.3127214414525766
3D,17点モデル(拡張前),36,0.32685992805835073
3D,17点モデル(拡張前),37,0.3350585253828848
