source,kind,joint,frame,angle_deg
2D,推定,spine1,74,167.15611720600373
2D,推定,spine1,75,166.2510158350922
2D,推定,spine1,76,163.3132931076982
2D,推定,spine1,77,162.5552020290983
2D,推定,spine1,78,160.90945315006655
2D,推定,spine1,79,158.25343340310292
2D,推定,spine1,80,155.0732433667997
2D,推定,spine1,81,152.2754548392408
2D,推定,spine1,82,152.71884797273813
2D,推定,spine1,83,153.9913025386565
2D,推定,spine1,84,154.6604213394357
2D,推定,spine1,85,154.4929972893184
2D,推定,spine1,86,154.98521550785534
2D,推定,spine1,87,154.37091924811244
2D,推定,spine1,88,154.70335465988353
2D,推定,spine1,89,154.46622962235125
2D,推定,spine1,90,155.2465700095238
2D,推定,spine1,91,155.835913087963
2D,推定,spine1,92,155.6468933546957
2D,推定,spine1,93,155.5260371473898
2D,推定,spine1,94,154.75974404761885
2D,推定,spine1,95,153.60561154909658
2D,推定,spine1,96,153.68693093186403
2D,推定,spine1,97,153.57174095784148
2D,推定,spine1,98,153.9922079115084
2D,推定,spine1,99,153.65295923994873
2D,推定,spine1,100,151.7161360138353
2D,推定,spine1,101,151.33276383293926
2D,推定,spine2,1,172.38556845544852
2D,推定,spine2,2,173.05511149333947
2D,推定,spine2,3,172.54208457336543
2D,推定,spine2,4,168.94526008002984
2D,推定,spine2,5,165.1907311953054
2D,推定,spine2,6,162.10630032271203
2D,推定,spine2,7,159.67658729275695
2D,推定,spine2,8,153.74970252559015
2D,推定,spine2,9,144.57164715964123
2D,推定,spine2,10,143.10542491315172
2D,推定,spine2,11,142.76640633622426
2D,推定,spine2,12,147.06689788158283
2D,推定,spine2,13,144.8512064686154
2D,推定,spine2,14,141.11828616715772
2D,推定,spine2,15,141.73617936847273
2D,推定,spine2,16,124.9177930529158
2D,推定,spine2,17,115.35969270945425
2D,推定,spine2,18,110.44168058581059
2D,推定,spine2,19,106.15130533563072
2D,推定,spine2,20,126.55535646461064
2D,推定,spine2,21,120.4792631716638
2D,推定,spine2,22,126.03806554818985
2D,推定,spine2,23,143.95976602595826
2D,推定,spine2,24,143.66630685484353
2D,推定,spine2,25,168.11624966709698
2D,推定,spine2,26,175.07725208470293
2D,推定,spine2,27,160.67093948139944
2D,推定,spine2,28,165.2402279374905
2D,推定,spine2,29,175.95145345459446
2D,推定,spine2,30,166.49985189781955
2D,推定,spine2,31,161.38983044556014
2D,推定,spine2,32,158.6630985272162
2D,推定,spine2,33,163.13932578958097
2D,推定,spine2,34,166.28746255579196
2D,推定,spine2,35,164.76253099059502
2D,推定,spine2,36,175.35061270387436
2D,推定,spine2,37,173.50116063316892
2D,推定,spine2,38,163.55203849224932
2D,推定,spine2,39,160.35116615626072
2D,推定,spine2,40,159.91649588006683
2D,推定,spine2,41,160.3036903152867
2D,推定,spine2,42,167.18169621043006
2D,推定,spine2,43,179.35071217514826
2D,推定,spine2,44,171.61055025426705
2D,推定,spine2,45,168.8436928788232
2D,推定,spine2,46,169.38689031230282
2D,推定,spine2,47,167.5376381448076
2D,推定,spine2,48,168.30112304329666
2D,推定,spine2,49,171.89432131560042
2D,推定,spine2,50,166.80980981905708
2D,推定,spine2,51,166.20960440766004
2D,推定,spine2,52,165.6073698798195
2D,推定,spine2,53,171.23949849986633
2D,推定,spine2,54,172.4101253440315
2D,推定,spine2,55,173.1783079557442
2D,推定,spine2,56,167.7307868168757
2D,推定,spine2,57,169.40431835615524
2D,推定,spine2,58,175.93695518758892
2D,推定,spine2,59,176.1278184429746
2D,推定,spine2,60,174.90386696166308
2D,推定,spine2,61,171.4310307817671
2D,推定,spine2,62,164.46141681454915
2D,推定,spine2,63,165.12264237742272
2D,推定,spine2,64,170.9133068400772
2D,推定,spine2,65,171.42992247002908
2D,推定,spine2,66,171.64904301312055
2D,推定,spine2,67,176.1435075802556
2D,推定,spine2,68,170.7435360775411
2D,推定,spine2,69,174.21906763115888
2D,推定,spine2,70,172.46819325425065
2D,推定,spine2,71,176.93100860659868
2D,推定,spine2,72,179.39190424658807
2D,推定,spine2,73,172.71564283654797
2D,推定,spine2,74,169.51224229236075
2D,推定,spine2,75,167.5551921311596
2D,推定,spine2,76,172.60553630781035
2D,推定,spine2,77,175.2532318545807
2D,推定,spine2,78,174.62136895561937
2D,推定,spine2,79,169.96668681607233
2D,推定,spine2,80,169.97475767200578
2D,推定,spine2,81,170.27947124623003
2D,推定,spine2,82,169.1465835789055
2D,推定,spine2,83,169.92379954220252
2D,推定,spine2,84,172.1869903653916
2D,推定,spine2,85,172.8511236147501
2D,推定,spine2,86,172.66332516680043
2D,推定,spine2,87,172.03573632447447
2D,推定,spine2,88,173.31066039523063
2D,推定,spine2,89,173.51989984582826
2D,推定,spine2,90,174.24333917996674
2D,推定,spine2,91,175.36659373422745
2D,推定,spine2,92,175.2360829279917
2D,推定,spine2,93,174.27406212205335
2D,推定,spine2,94,173.90171523531424
2D,推定,spine2,95,171.47892670407492
2D,推定,spine2,96,171.60631850902115
2D,推定,spine2,97,171.76151350323144
2D,推定,spine2,98,171.9059213593447
2D,推定,spine2,99,169.7215247777849
2D,推定,spine2,100,168.0107018188153
2D,推定,spine2,101,169.330505047722
2D,推定,spine3,1,136.82738387811943
2D,推定,spine3,2,140.29620116326473
2D,推定,spine3,3,142.49584250342767
2D,推定,spine3,4,142.72740217135325
2D,推定,spine3,5,141.08613065838443
2D,推定,spine3,6,139.65435720668734
2D,推定,spine3,7,138.9987060038895
2D,推定,spine3,8,135.9475824467153
2D,推定,spine3,9,133.8829147303015
2D,推定,spine3,10,136.34995447991858
2D,推定,spine3,11,136.79251719928297
2D,推定,spine3,12,137.619729301783
2D,推定,spine3,13,139.7294416341446
2D,推定,spine3,14,141.08412512405312
2D,推定,spine3,15,141.27049849469324
2D,推定,spine3,16,142.87644748236102
2D,推定,spine3,17,145.585330896441
2D,推定,spine3,18,152.34318159828376
2D,推定,spine3,19,154.62136263129614
2D,推定,spine3,20,160.1394575476291
2D,推定,spine3,21,151.89772994523733
2D,推定,spine3,22,158.13157035802888
2D,推定,spine3,23,161.7296132386055
2D,推定,spine3,24,156.92074573805218
2D,推定,spine3,25,168.5591469419619
2D,推定,spine3,26,165.69151841410178
2D,推定,spine3,27,173.1694282279554
2D,推定,spine3,28,157.8121184469182
2D,推定,spine3,29,159.51159829184994
2D,推定,spine3,30,161.260319488862
2D,推定,spine3,31,162.15091157355687
2D,推定,spine3,32,153.90416627568052
2D,推定,spine3,33,147.84873971093566
2D,推定,spine3,34,143.21323352646152
2D,推定,spine3,35,157.9606598270122
2D,推定,spine3,36,138.3299584449593
2D,推定,spine3,37,147.4354553274255
2D,推定,spine3,38,158.41788675120168
2D,推定,spine3,39,165.7562926107077
2D,推定,spine3,40,160.9742540495911
2D,推定,spine3,41,162.48883394672066
2D,推定,spine3,42,156.72916185201765
2D,推定,spine3,43,147.2607758443683
2D,推定,spine3,44,152.30587960072853
2D,推定,spine3,45,159.48782758926853
2D,推定,spine3,46,160.77256030033237
2D,推定,spine3,47,163.1686749267754
2D,推定,spine3,48,163.7859868788987
2D,推定,spine3,49,164.12606553189872
2D,推定,spine3,50,165.6159659040439
2D,推定,spine3,51,164.4520477534001
2D,推定,spine3,52,167.5251364770045
2D,推定,spine3,53,165.18905292442415
2D,推定,spine3,54,165.5244951113616
2D,推定,spine3,55,164.74831266064862
2D,推定,spine3,56,167.5310277398708
2D,推定,spine3,57,167.02654245886802
2D,推定,spine3,58,169.06724712535274
2D,推定,spine3,59,166.3483068258487
2D,推定,spine3,60,163.86496902038525
2D,推定,spine3,61,169.05631212851426
2D,推定,spine3,62,174.90731109561298
2D,推定,spine3,63,177.91692442946726
2D,推定,spine3,64,174.8892080379787
2D,推定,spine3,65,176.01368717532017
2D,推定,spine3,66,167.96799455945708
2D,推定,spine3,67,163.6036713384858
2D,推定,spine3,68,160.8933002631799
2D,推定,spine3,69,163.56578393996384
2D,推定,spine3,70,164.17534268312565
2D,推定,spine3,71,161.17049971702298
2D,推定,spine3,72,159.82661145408133
2D,推定,spine3,73,160.86156501250323
2D,推定,spine3,74,158.9796663745262
2D,推定,spine3,75,158.55077537859805
2D,推定,spine3,76,152.62061082013196
2D,推定,spine3,77,153.4756924113052
2D,推定,spine3,78,152.21173944288176
2D,推定,spine3,79,155.84900221677296
2D,推定,spine3,80,156.07561066690488
2D,推定,spine3,81,153.75287335747112
2D,推定,spine3,82,157.0797828241118
2D,推定,spine3,83,158.10733703676146
2D,推定,spine3,84,158.71863820826448
2D,推定,spine3,85,158.11300634375317
2D,推定,spine3,86,157.89866368252225
2D,推定,spine3,87,156.8105986476837
2D,推定,spine3,88,155.74827027179887
2D,推定,spine3,89,155.13851421590343
2D,推定,spine3,90,155.26748214927008
2D,推定,spine3,91,154.87431252204357
2D,推定,spine3,92,154.85500134296802
2D,推定,spine3,93,154.97854774579562
2D,推定,spine3,94,154.95217130001538
2D,推定,spine3,95,155.67822292038676
2D,推定,spine3,96,155.19176272172052
2D,推定,spine3,97,155.33721201434545
